Location,Sex,year,age,px
Colombia,Male,1954,31,0.99301087
Colombia,Male,1954,32,0.99286872
Colombia,Male,1954,33,0.99267743
Colombia,Male,1954,34,0.99247002
Colombia,Male,1954,35,0.99224644
Colombia,Male,1954,36,0.99200173
Colombia,Male,1954,37,0.99172837
Colombia,Male,1954,38,0.99142814
Colombia,Male,1954,39,0.99110063
Colombia,Male,1954,40,0.99074209
Colombia,Male,1954,41,0.99035182
Colombia,Male,1954,42,0.98992705
Colombia,Male,1954,43,0.98946607
Colombia,Male,1954,44,0.98896608
Colombia,Male,1954,45,0.98841862
Colombia,Male,1954,46,0.9878122
Colombia,Male,1954,47,0.98713287
Colombia,Male,1954,48,0.98637241
Colombia,Male,1954,49,0.98552679
Colombia,Male,1954,50,0.98460421
Colombia,Male,1954,51,0.98362402
Colombia,Male,1954,52,0.98259982
Colombia,Male,1954,53,0.9815309
Colombia,Male,1954,54,0.98040006
Colombia,Male,1954,55,0.97917576
Colombia,Male,1954,56,0.977815
Colombia,Male,1954,57,0.97626291
Colombia,Male,1954,58,0.97447831
Colombia,Male,1954,59,0.97243598
Colombia,Male,1954,60,0.97014147
Colombia,Male,1954,61,0.96764123
Colombia,Male,1954,62,0.9649805
Colombia,Male,1954,63,0.96219235
Colombia,Male,1954,64,0.95927462
Colombia,Male,1954,65,0.95616636
Colombia,Male,1954,66,0.95277668
Colombia,Male,1954,67,0.9489814
Colombia,Male,1954,68,0.94464851
Colombia,Male,1954,69,0.93971468
Colombia,Male,1954,70,0.9342004
Colombia,Male,1954,71,0.92820379
Colombia,Male,1954,72,0.9218366
Colombia,Male,1954,73,0.91520512
Colombia,Male,1954,74,0.90832361
Colombia,Male,1954,75,0.90109741
Colombia,Male,1954,76,0.89339784
Colombia,Male,1954,77,0.8850517
Colombia,Male,1954,78,0.87588284
Colombia,Male,1954,79,0.86579491
Colombia,Male,1954,80,0.85474037
Colombia,Male,1954,81,0.84272477
Colombia,Male,1954,82,0.82980213
Colombia,Male,1954,83,0.81592726
Colombia,Male,1954,84,0.801182
Colombia,Male,1954,85,0.78595546
Colombia,Male,1954,86,0.77062598
Colombia,Male,1954,87,0.75544498
Colombia,Male,1954,88,0.74027515
